Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
people,phd_dissertations,5,committee3,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_dissertations,6,proposal_defense_date,date,YES,,,,,,
people,phd_dissertations,7,thesis_defense_date,date,YES,,,,,,
people,phd_dissertations,8,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_dissertations,9,dt,datetime,YES,,,,,,
people,phd_dissertations,10,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,phd_funding,1,id,int,NO,PRI,,auto_increment,,,
people,phd_funding,2,majorsourcekey,varchar(10),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding,3,termsourcekey,varchar(4),NO,,,,latin1,latin1_swedish_ci,
people,phd_funding,4,userid,varchar(8),YES,MUL,,,latin1,latin1_swedish_ci,
people,phd_funding,5,funding_source,varchar(12),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding,6,status,varchar(12),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding,7,notes,blob,YES,,,,,,
people,phd_funding,8,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding,9,dt,datetime,YES,,,,,,
people,phd_funding,10,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,phd_funding_sources,1,id,int,NO,PRI,,auto_increment,,,
people,phd_funding_sources,2,abbr,varchar(12),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding_sources,3,name,varchar(30),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding_sources,4,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding_sources,5,dt,datetime,YES,,,,,,
people,phd_funding_sources,6,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,phd_notes,1,id,int,NO,PRI,,auto_increment,,,
people,phd_notes,2,userid,varchar(8),NO,,,,latin1,latin1_swedish_ci,
people,phd_notes,3,note,blob,YES,,,,,,
people,phd_notes,4,type,"enum('academic review','award','comment','criticism','personal progress','praise')",YES,,,,latin1,latin1_swedish_ci,
people,phd_notes,5,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_notes,6,dt,datetime,YES,,,,,,
people,phd_notes,7,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,phd_oqe,1,id,int,NO,PRI,,auto_increment,,,
people,phd_oqe,2,userid,varchar(8),NO,MUL,,,latin1,latin1_swedish_ci,
people,phd_oqe,3,oqe_self_chosen1,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_oqe,4,oqe_self_chosen2,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_oqe,5,oqe_dept_chosen,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_oqe,6,oqe_date,date,YES,,,,,,
people,phd_oqe,7,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_oqe,8,dt,datetime,YES,,,,,,
people,phd_oqe,9,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,photos,1,id,int,NO,PRI,,auto_increment,,,
people,photos,2,userid,varchar(8),YES,UNI,,,latin1,latin1_swedish_ci,
people,photos,3,headshot,mediumblob,YES,,,,,,
people,photos,4,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,photos,5,dt,datetime,YES,,,,,,
people,photos,6,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,pref_flag,1,id,int,NO,PRI,,auto_increment,,,
people,pref_flag,2,userid,varchar(8),YES,UNI,,,latin1,latin1_swedish_ci,
people,pref_flag,3,show_flag,tinyint(1),YES,,,,,,
people,pref_flag,4,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,pref_flag,5,dt,datetime,YES,,,,,,
people,pref_flag,6,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,pref_photo,1,id,int,NO,PRI,,auto_increment,,,
people,pref_photo,2,userid,varchar(8),NO,UNI,,,latin1,latin1_swedish_ci,
people,pref_photo,3,show_photo,tinyint(1),YES,,,,,,
people,pref_photo,4,photo_roster_ts,timestamp,YES,,,,,,
people,pref_photo,5,facial_recognition,tinyint(1),YES,,0,,,,
people,pref_photo,6,facial_recognition_ts,timestamp,YES,,,,,,
people,pref_photo,7,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,pref_photo,8,dt,datetime,YES,,,,,,
people,pref_photo,9,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,scores,1,id,int,NO,PRI,,auto_increment,,,
people,scores,2,userid,varchar(8),YES,UNI,,,latin1,latin1_swedish_ci,
people,scores,3,speak_demo,"enum('','EAS 512 Required','Fail','Pass')",YES,,,,latin1,latin1_swedish_ci,
people,scores,4,speak_test,tinyint(1),YES,,,,,,
people,scores,5,notes,blob,YES,,,,,,
people,scores,6,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,scores,7,dt,datetime,YES,,,,,,
people,scores,8,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,teaching_prefs,1,id,int,NO,PRI,,auto_increment,,,
people,teaching_prefs,2,userid,varchar(8),NO,MUL,,,utf8,utf8_general_ci,
people,teaching_prefs,3,crse_id,varchar(6),NO,MUL,,,utf8,utf8_general_ci,
people,teaching_prefs,4,pref,int,YES,,,,,,
people,teaching_prefs,5,editor,varchar(8),YES,,,,utf8,utf8_general_ci,
people,teaching_prefs,6,dt,datetime,YES,,,,,,
people,teaching_prefs,7,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,websites,1,id,int,NO,PRI,,auto_increment,,,
people,websites,2,userid,varchar(8),NO,UNI,,,latin1,latin1_swedish_ci,
people,websites,3,url,varchar(512),YES,,,,latin1,latin1_swedish_ci,
people,websites,4,url_dblp,varchar(50),YES,,,,latin1,latin1_swedish_ci,
people,websites,5,url_facebook,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,6,url_github,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,7,url_github_title,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,8,url_google_scholar,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,9,url_instagram,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,10,url_lab,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,11,url_lab_title,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,12,url_linkedin,varchar(50),YES,,,,latin1,latin1_swedish_ci,
people,websites,13,url_personal,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,14,url_personal_title,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,15,url_snapchat,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,16,url_twitter_x,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,websites,17,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,websites,18,dt,datetime,YES,,,,,,
people,websites,19,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
